X_deg;Y_deg;Pop;GridCellArea;Country;ElecPop;WindVel;GHI;TravelHours;Elevation;ResidentialDemandTierCustom;Slope;NightLights;LandCover;SubstationDist;TransformerDist;CurrentHVLineDist;PlannedHVLineDist;CurrentMVLineDist;PlannedMVLineDist;RoadDist;HydropowerDist;Hydropower;HydropowerFID;IsUrban;PerCapitaDemand;HealthDemand;EducationDemand;AgriDemand;ElectrificationOrder;CommercialDemand;ResidentialDemandTier1;ResidentialDemandTier2;ResidentialDemandTier3;ResidentialDemandTier4;ResidentialDemandTier5;id;Households
1.9463;6.6295;67;0.0150;Benin;0.0000;0.0000;1713;0.2331;36.0000;38.7000;1.2048;0.0000;14;10.6087;9999;3.9684;4.0193;3.9684;4.0193;2.0096;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;1667;13.4000
1.0383;10.6537;82;0.0304;Benin;0.0000;0.0000;2019;0.2670;206.0000;38.7000;0.6074;0.0000;12;61.5118;9999;61.5488;17.6152;61.5488;17.6152;16.2831;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;13479;16.4000
2.5742;9.2430;52;0.0217;Benin;0.0000;0.0000;1892;0.6097;387.0000;38.7000;0.5791;0.0000;10;9.8930;9999;1.6335;9.8163;1.6335;9.8163;0.1030;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;7646;10.4000
3.4186;9.9352;39;0.0042;Benin;0.0000;0.0000;1989;0.2513;395.0000;38.7000;0.7193;0.0000;12;23.3524;9999;74.6447;59.9810;74.6447;59.9810;11.0836;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;17103;7.8000
2.8901;9.4401;245;0.1617;Benin;0.0000;0.0000;1895;0.7556;341.0000;38.7000;0.5812;0.0000;12;34.4152;9999;29.9626;3.3026;29.9626;3.3026;9.8326;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;8221;49.0000
2.4937;11.2221;31;0.0127;Benin;0.0000;0.0000;2067;0.4773;288.0000;38.7000;0.4694;0.0000;12;10.5847;9999;114.4436;5.7859;114.4436;5.7859;10.0507;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;15697;6.2000
0.8574;10.4829;134;0.0434;Benin;0.0000;0.0000;1998;0.2283;191.0000;38.7000;0.6607;0.0000;12;65.5218;9999;65.5688;44.6119;65.5688;44.6119;1.9278;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;12821;26.8000
1.7561;6.5995;59;0.0083;Benin;0.0000;0.0000;1720;0.1167;14.0000;38.7000;0.2255;0.0000;12;7.9312;9999;2.2382;2.1998;2.2382;2.1998;1.3470;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;1532;11.8000
2.9925;9.5718;121;0.0644;Benin;0.0000;0.0000;1919;0.2283;382.0000;38.7000;0.7896;0.0000;10;23.5168;9999;36.4648;14.8840;36.4648;14.8840;3.7207;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;8787;24.2000
3.4567;11.6378;376;0.1956;Benin;0.0000;0.0000;2078;0.6067;214.0000;38.7000;0.4427;0.0000;10;25.6674;9999;181.0400;17.9011;181.0400;17.9011;3.0200;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;16683;75.2000
1.7962;10.3816;36;0.0411;Benin;0.0000;0.0000;2025;0.6247;385.0000;219.0000;0.5102;0.0000;12;46.6818;9999;46.6399;46.3615;46.6399;46.3615;9.4473;9999;9999.0000;9999;0;43.8000;0;0;0;0;0;7.7400;43.8000;200;500;750;11924;7.2000
2.6969;7.6975;67;0.0153;Benin;0.0000;0.0000;1732;1.5528;211.0000;38.7000;1.2519;0.0000;10;58.2828;9999;4.5864;92.6375;4.5864;92.6375;5.5825;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;5802;13.4000
1.0971;10.3074;62;0.0475;Benin;0.0000;0.0000;1984;0.6812;227.0000;38.7000;0.2823;0.0000;12;33.9682;9999;33.9701;28.2317;33.9701;28.2317;2.2440;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;12421;12.4000
